body,title,url
"Teresa Portela cumplió en mayo 39 años; 20 de ellos los ha pasado en el piragüismo. Entró en el equipo nacional en 2001; 20 años después se prepara para disputar sus sextos Juegos Olímpicos. Es un récord de longevidad. Ninguna deportista española había logrado tanto. Si llegar a la élite es complicado, mantenerse allí arriba durante dos décadas, todavía más. Especialmente en una disciplina tan explosiva como el K1-200. Portela ha ganado 15 medallas mundiales y 17 europeas.  Solo le falta un metal olímpico, lo lleva persiguiendo desde Sídney 2000. Este minidocumental cuenta lo cerca que estuvo de él en Londres 2012 cuando se lo impidió un pequeño contratiempo.","Videorreportaje | La lucha contra el tiempo de Teresa Portela, la primera mujer española que disputa seis Juegos Olímpicos",https://elpais.com/deportes/juegos-olimpicos/2021-07-16/videorreportaje-la-lucha-contra-el-tiempo-de-teresa-portela-la-primera-mujer-espanola-que-disputa-seis-juegos-olimpicos.html
"La empresa comercializadora de gas estadounidense Whitewater Midstream se encuentra bajo investigación en México y en Estados Unidos “por entrega de contratos bajo sospecha de corrupción, abuso de confianza y tráfico de influencias”, informó la Comisión Federal de Electricidad (CFE) el viernes en un comunicado. La empresa firmó tres contratos con la empresa estatal de electricidad entre 2016 y 2017, dijo la dependencia, y está bajo investigación “dado que es una empresa de reciente creación, que no contaba con activos, experiencia en el sector ni solvencia financiera y, a quien se entregaron contratos multimillonarios por parte de CFE”.",México y EE UU investigan posible corrupción en contratos entre CFE y Whitewater Midstream,https://elpais.com/mexico/2021-07-17/mexico-y-ee-uu-investigan-posible-corrupcion-en-contratos-entre-cfe-y-whitewater-midstream.html
"Una invitación a aprender, “a hacer del aprendizaje una forma de vida”, quizás la mejor de todas las posibles. Así resume Alejandro Gaviria el contenido de su último libro, construido como una investigación en torno a la obra y la vida de Aldous Huxley, pero también, y sobre todo, como una introspección del propio autor sobre el misterio de la vida… y de la muerte.",Un mundo no tan feliz,https://elpais.com/babelia/2021-07-16/un-mundo-no-tan-feliz.html
"A finales de junio, el público que asistía al primer partido de tenis en Wimbledon se puso en pie y aplaudió durante largo rato a Sarah Gilbert (Kettering, Reino Unido, 59 años). No se lo esperaba, y la científica, de carácter duro, dejó escapar sus emociones. Vive un momento de cosecha, después de un largo año de intenso trabajo. La responsable de desarrollar la vacuna de la Universidad de Oxford, producida más tarde en colaboración con la farmacéutica AstraZeneca, fue galardonada este año, junto al resto de colegas creadores de otras vacunas, con el premio Princesa de Asturias de Investigación Científica. Atendió esta semana a la alianza LENA, el grupo de diarios europeos relevantes entre los que está EL PAÍS. Obsesionada por los datos y las evidencias científicas, no rehúye la polémica y ataca a los que, según ella, esgrimieron en el debate público informaciones poco fundamentadas “que costaron vidas”. Gilbert sugiere, frente a los miedos desatados por la nueva variante delta del virus, que ahora es más conveniente prestar atención al número de nuevas hospitalizaciones que al de contagios.",“El número de infecciones es ahora un dato menos importante que el de hospitalizaciones”,https://elpais.com/sociedad/2021-07-17/el-numero-de-infecciones-es-ahora-un-dato-menos-importante-que-el-de-hospitalizaciones.html
"La subasta de las concesiones de la banda de frecuencias del 5G, la nueva generación de telefonía móvil llamada a revolucionar no solo las telecomunicaciones sino la industria del futuro, ya tiene ganadores tres días antes de que comience. Y curiosamente, son dos compañías que han decidido no presentarse a la puja organizada por el Gobierno al considerar que las condiciones de la subasta, que parte con un precio de salida de casi 1.000 millones de euros, no son justas. Se trata de MásMóvil y Digi que, pese a no participar en el concurso, se han asegurado ya el acceso a las frecuencias subastadas merced a sendos acuerdos con Orange y Telefónica, respectivamente.",Arranca la subasta millonaria del 5G que ganarán los que no se presentan,https://elpais.com/economia/2021-07-17/arranca-la-subasta-millonaria-del-5g-que-ganaran-los-que-no-se-presentan.html
"“Como no conocían los caminos hacían el viaje perdiéndose y volviéndose a orientar”. Esta cita de los Ise Monogatari (Cantares de Ise), una recopilación de relatos cortos del siglo X, aparece en las primeras páginas del libro Cuadernos perdidos de Japón (Candaya), de Patricia Almarcegui, y puede servir para resumir alguna de las sensaciones que produce viajar por el país asiático: una extraña mezcla de estar siempre perdido y, a la vez, encontrarse siempre en el lugar adecuado. Desde hace tiempo, mucho antes de los Juegos Olímpicos de Tokio, Japón ocupa un espacio cada vez más importante en el mundo literario español, que va más allá del trabajo que editoriales como Satori, Impedimenta o Tusquets llevan años haciendo para acercar la literatura japonesa al lector hispano.",Entre el flamenco y el ‘ramen’,https://elpais.com/babelia/2021-07-16/entre-el-flamenco-y-el-ramen.html
"Ubicado en la calle de Tacuba, número 17 esquina con Simón Bolívar, en el Centro Histórico de la Ciudad de México, se encuentra uno de los tantos palacios pertenecientes el estilo barroco novohispánico de mediados del Siglo XVIII, el cual por muchos años fue el Antiguo Convento y hospital de los Betlemitas, orden eclesiástica que se dedicaba principalmente a asistir y ayudar a los más necesitados.","MIDE, 15 años contando lo que cuenta",https://elpais.com/sociedad/2021-07-13/mide-15-anos-contando-lo-que-cuenta.html
,,https://cincodias.elpais.com/cincodias/2021/07/16/mercados/1626451120_744510.html
"Joseph Felix Badio, un exfuncionario del ministerio de Justicia de Haití, fue quien dio la orden a los exmilitares colombianos para asesinar al presidente Jovenel Moïse, ha asegurado la mañana de este viernes el director de la policía de Colombia, Jorge Luis Vargas. “En reunión con Badio y otra persona llamada Askard”, los exmilitares colombianos Duberney Capador y Germán Rivera fueron informados de que supuestamente iban a arrestar al presidente, señaló. El grupo de sicarios se instaló en una casa cercana a la residencia del mandatario y consiguió vehículos que ubicaron en posiciones estratégicas para cometer el plan, según sus pesquisas. “De eso estaban enterados tanto la empresa CTU Security, como el médico Emmanuel Sanon y otras personas que ya han sido capturadas”, agregó. Sin embargo, tres días antes del magnicidio, ocurrido el 7 de julio, la orden cambió. “Badio, que fue funcionario del ministerio de Justicia y laboró en la unidad de la lucha anticorrupción con el servicio general de inteligencia, les indica a Capador y Rivera que lo que tienen que hacer es asesinar al presidente”, ha dicho Vargas en una rueda de prensa en Bogotá.",Colombia asegura que un exfuncionario de Justicia haitiano dio la orden de asesinar al presidente Jovenel Moïse,https://elpais.com/internacional/2021-07-16/colombia-asegura-que-un-exfuncionario-de-justicia-haitiano-dio-la-orden-de-asesinar-al-presidente-jovenel-moise.html
"La política italiana ha convertido la justicia en el principal caballo de batalla de los últimos 30 años. El debate sobre el poder que entraña, la velocidad de los procesos, la dureza de las penas y el control que ejerce sobre la clase política y la corrupción han dado a luz los principales fenómenos surgidos en las últimas décadas. Desde La Liga Norte a Silvio Berlusconi, pasando por el Movimiento 5 Estrellas. Italia se divide desde entonces en dos categorías algo absurdas: los justicialistas y los garantistas. Y nadie ha logrado jamás poner de acuerdo a todos los partidos sobre cómo afrontar la cuestión. El Ejecutivo de Mario Draghi, sin embargo, se dispone a comenzar una gran reforma que tocará temas cruciales como la prescripción de los delitos, la radical disminución de las penas de cárcel o el poder desmedido del Consejo Superior de la Magistratura (CSM).",Una reforma que explica 30 años de historia política en Italia,https://elpais.com/internacional/2021-07-17/una-reforma-que-explica-30-anos-de-historia-politica-en-italia.html
